PlayerName,Foot,Position,AWR,DWR,OVR,PAC,SHO,PAS,DRI,DEF,PHY,SM,DIV,POS,HAN,REF,KIC,SPD
Cristiano Ronaldo,R,ST,H,L,92,88,94,84,89,35,77,5,-1,-1,-1,-1,-1,-1
Alessandro Del Piero,R,CF,M,M,92,83,92,89,92,43,67,4,-1,-1,-1,-1,-1,-1
Alessandro Nesta,R,CB,M,H,92,72,42,65,67,94,86,2,-1,-1,-1,-1,-1,-1
Andrea Pirlo,R,CM,M,M,92,73,80,95,91,71,67,5,-1,-1,-1,-1,-1,-1
Bobby Moore,R,CB,M,M,92,68,64,83,78,93,85,2,-1,-1,-1,-1,-1,-1
Carles Puyol Saforcada,R,CB,M,H,92,70,45,68,58,94,90,2,-1,-1,-1,-1,-1,-1
David Beckham,R,RM,H,H,92,80,87,95,88,69,82,3,-1,-1,-1,-1,-1,-1
Dennis Bergkamp,R,CF,M,M,92,84,91,86,90,37,78,4,-1,-1,-1,-1,-1,-1
Emilio Butragueno,R,ST,M,L,92,94,90,80,92,41,68,3,-1,-1,-1,-1,-1,-1
Fabio Cannavaro,R,CB,L,H,92,80,43,63,68,95,85,2,-1,-1,-1,-1,-1,-1
Gary Lineker,R,ST,H,L,92,88,91,73,86,36,76,3,-1,-1,-1,-1,-1,-1
Hristo Stoichkov,L,ST,M,M,92,92,93,86,92,50,86,4,-1,-1,-1,-1,-1,-1
Hugo Sanchez,L,ST,H,M,92,92,93,81,90,44,75,3,-1,-1,-1,-1,-1,-1
Javier Zanetti,R,RB,H,H,92,86,63,88,85,90,81,2,-1,-1,-1,-1,-1,-1
Kenny Dalglish,R,ST,H,M,92,90,92,77,90,41,73,4,-1,-1,-1,-1,-1,-1
Luis Figo,R,RW,H,L,92,92,88,89,92,41,80,4,-1,-1,-1,-1,-1,-1
Garrincha,R,RW,M,L,92,90,86,92,94,41,67,5,-1,-1,-1,-1,-1,-1
Raul Gonzalez Blanco,L,CF,H,M,92,88,92,82,90,47,75,4,-1,-1,-1,-1,-1,-1
Rivaldo,L,LW,M,L,92,87,91,88,92,44,78,4,-1,-1,-1,-1,-1,-1
Ruud van Nistelrooy,R,ST,H,L,92,86,91,78,85,37,82,3,-1,-1,-1,-1,-1,-1
Ryan Giggs,L,LM,H,M,92,90,80,90,91,44,67,3,-1,-1,-1,-1,-1,-1
Samuel Eto'o,R,ST,H,L,92,95,93,82,90,47,83,4,-1,-1,-1,-1,-1,-1
Robert Lewandowski,R,ST,H,M,92,78,92,79,86,44,82,4,-1,-1,-1,-1,-1,-1
Karim Benzema,R,CF,M,M,91,79,88,84,90,41,80,4,-1,-1,-1,-1,-1,-1
Alan Shearer,R,ST,H,M,91,81,93,77,78,52,85,2,-1,-1,-1,-1,-1,-1
Andriy Shevchenko,R,ST,H,H,91,88,92,72,87,34,75,3,-1,-1,-1,-1,-1,-1
Bastian Schweinsteiger,R,CM,H,H,91,76,86,89,86,86,86,3,-1,-1,-1,-1,-1,-1
Clarence Seedorf,R,CAM,M,M,91,80,87,90,88,68,82,4,-1,-1,-1,-1,-1,-1
David Trezeguet,R,ST,M,L,91,81,92,70,82,45,80,4,-1,-1,-1,-1,-1,-1
Didier Drogba,R,ST,H,H,91,90,92,77,82,47,90,4,-1,-1,-1,-1,-1,-1
Fernando Hierro Ruiz,R,CB,M,H,91,73,68,76,70,93,87,2,-1,-1,-1,-1,-1,-1
Fernando Torres,R,ST,H,M,91,93,90,79,88,45,78,4,-1,-1,-1,-1,-1,-1
Gheorghe Hagi,L,CAM,M,L,91,83,89,90,90,43,65,4,-1,-1,-1,-1,-1,-1
Ian Rush,R,ST,H,M,91,86,92,72,86,45,81,3,-1,-1,-1,-1,-1,-1
Riquelme,R,CAM,M,L,91,70,87,93,93,32,69,5,-1,-1,-1,-1,-1,-1
Kaka,R,CAM,H,M,91,91,86,88,92,44,73,5,-1,-1,-1,-1,-1,-1
Laurent Blanc,R,CB,M,H,91,79,69,70,78,92,86,2,-1,-1,-1,-1,-1,-1
Marcel Desailly,R,CB,M,H,91,83,52,66,67,90,90,2,-1,-1,-1,-1,-1,-1
Michael Ballack,R,CM,M,H,91,81,90,88,83,81,86,4,-1,-1,-1,-1,-1,-1
Michael Laudrup,R,CAM,M,M,91,85,79,90,92,38,64,4,-1,-1,-1,-1,-1,-1
Michael Owen,R,ST,M,M,91,90,89,70,88,34,67,3,-1,-1,-1,-1,-1,-1
Miroslav Klose,R,ST,H,M,91,88,88,76,82,41,81,3,-1,-1,-1,-1,-1,-1
Patrick Kluivert,R,ST,H,L,91,86,88,80,83,41,82,4,-1,-1,-1,-1,-1,-1
Patrick Vieira,R,CM,M,H,91,83,80,82,85,90,91,3,-1,-1,-1,-1,-1,-1
Paul Scholes,R,CM,H,M,91,72,87,91,80,64,82,3,-1,-1,-1,-1,-1,-1
Pavel Nedved,R,LM,H,M,91,85,88,90,90,60,81,4,-1,-1,-1,-1,-1,-1
Philipp Lahm,R,RB,H,H,91,87,72,87,87,90,73,3,-1,-1,-1,-1,-1,-1
Robert Pires,R,LM,M,M,91,88,82,88,89,40,64,4,-1,-1,-1,-1,-1,-1
Roberto Carlos,L,LB,H,H,91,92,83,84,81,86,86,3,-1,-1,-1,-1,-1,-1
Ronald Koeman,R,CB,H,M,91,75,88,89,80,90,86,3,-1,-1,-1,-1,-1,-1
Socrates,R,CAM,H,M,91,84,90,91,90,45,84,4,-1,-1,-1,-1,-1,-1
Steven Gerrard,R,CM,H,M,91,77,90,90,85,77,84,3,-1,-1,-1,-1,-1,-1
Kylian Mbappe,R,ST,H,L,91,97,88,80,92,36,77,5,-1,-1,-1,-1,-1,-1
Neymar Jr,R,LW,H,M,91,91,83,86,94,37,63,5,-1,-1,-1,-1,-1,-1
Kevin De Bruyne,R,CM,H,H,91,76,86,93,88,64,78,4,-1,-1,-1,-1,-1,-1
Heung Min Son,R,LM,H,H,90,89,88,84,87,44,71,4,-1,-1,-1,-1,-1,-1
Mohamed Salah,L,RW,H,M,90,91,89,82,91,46,77,4,-1,-1,-1,-1,-1,-1
Joshua Kimmich,R,CDM,H,M,90,72,75,87,85,84,80,3,-1,-1,-1,-1,-1,-1
Anderson Luis de Souza,R,CM,H,M,90,83,79,91,90,51,70,4,-1,-1,-1,-1,-1,-1
Christian Vieri,L,ST,M,M,90,83,91,74,83,40,84,3,-1,-1,-1,-1,-1,-1
Claude Makelele,R,CDM,L,H,90,80,50,79,80,88,88,3,-1,-1,-1,-1,-1,-1
Davor Suker,L,ST,H,M,90,85,91,82,91,45,77,4,-1,-1,-1,-1,-1,-1
Emmanuel Petit,L,CDM,H,H,90,77,79,82,78,87,89,3,-1,-1,-1,-1,-1,-1
Filippo Inzaghi,R,ST,M,L,90,79,91,69,83,36,65,3,-1,-1,-1,-1,-1,-1
Frank Lampard,R,CM,H,M,90,74,90,88,84,73,81,3,-1,-1,-1,-1,-1,-1
Frank Rijkaard,R,CDM,M,M,90,77,76,83,80,90,87,3,-1,-1,-1,-1,-1,-1
Gianfranco Zola,R,CF,H,M,90,86,91,88,91,43,63,4,-1,-1,-1,-1,-1,-1
Henrik Larsson,R,ST,H,H,90,90,89,76,85,48,73,3,-1,-1,-1,-1,-1,-1
Hernan Crespo,R,ST,M,L,90,89,90,72,89,38,73,4,-1,-1,-1,-1,-1,-1
Jari Litmanen,R,CAM,M,M,90,82,89,84,84,36,64,3,-1,-1,-1,-1,-1,-1
Jay-Jay Okocha,R,CAM,M,L,90,87,83,84,94,40,60,5,-1,-1,-1,-1,-1,-1
Pep Guardiola,R,CDM,M,H,90,78,65,88,81,88,83,3,-1,-1,-1,-1,-1,-1
Juan Sebastian Veron,R,CM,M,M,90,76,85,90,85,77,85,3,-1,-1,-1,-1,-1,-1
Luis Hernandez,R,ST,H,M,90,92,88,74,89,48,70,4,-1,-1,-1,-1,-1,-1
Marc Overmars,L,LM,H,M,90,95,82,81,89,47,67,3,-1,-1,-1,-1,-1,-1
Michael Essien,R,CDM,H,H,90,85,76,81,82,90,90,3,-1,-1,-1,-1,-1,-1
Nemanja Vidic,R,CB,M,H,90,78,50,62,64,93,91,2,-1,-1,-1,-1,-1,-1
Rio Ferdinand,R,CB,M,M,90,83,49,67,65,91,86,3,-1,-1,-1,-1,-1,-1
Roy Keane,R,CM,M,H,90,72,71,85,81,87,89,2,-1,-1,-1,-1,-1,-1
Rui Manuel Cesar Costa,R,CAM,M,M,90,86,81,88,88,44,79,4,-1,-1,-1,-1,-1,-1
Marcos Cafu,R,RB,H,M,90,90,57,85,87,88,84,4,-1,-1,-1,-1,-1,-1
Harry Kane,R,ST,H,H,90,70,91,83,83,47,83,3,-1,-1,-1,-1,-1,-1
N'Golo Kante,R,CDM,M,H,90,78,66,75,82,87,83,2,-1,-1,-1,-1,-1,-1
Luis Suarez,R,ST,H,M,89,73,91,84,85,48,85,3,-1,-1,-1,-1,-1,-1
Ashley Cole,L,LB,H,M,89,89,67,83,83,88,80,3,-1,-1,-1,-1,-1,-1
Gennaro Gattuso,R,CDM,M,H,89,73,65,72,73,91,89,2,-1,-1,-1,-1,-1,-1
Gianluca Zambrotta,R,RB,H,M,89,90,72,84,85,88,86,4,-1,-1,-1,-1,-1,-1
Ian Wright,R,ST,M,M,89,89,90,70,82,41,77,3,-1,-1,-1,-1,-1,-1
John Barnes,L,LW,H,M,89,90,87,85,91,45,85,4,-1,-1,-1,-1,-1,-1
Sol Campbell,R,CB,L,M,89,80,45,60,54,90,90,2,-1,-1,-1,-1,-1,-1
Fernando Morientes Sanchez,R,ST,M,M,89,84,90,77,83,45,86,4,-1,-1,-1,-1,-1,-1
Abedi Pele,L,CAM,M,M,89,91,83,87,91,48,66,4,-1,-1,-1,-1,-1,-1
David Ginola,L,LM,H,M,89,90,88,87,91,55,84,5,-1,-1,-1,-1,-1,-1
Robin van Persie,L,ST,M,L,89,83,92,85,88,44,75,4,-1,-1,-1,-1,-1,-1
Sadio Mane,R,LW,H,M,89,91,83,80,89,44,77,4,-1,-1,-1,-1,-1,-1
Casemiro,R,CDM,H,H,89,65,73,76,73,86,90,2,-1,-1,-1,-1,-1,-1
Virgil van Dijk,R,CB,M,M,89,78,60,71,72,91,84,2,-1,-1,-1,-1,-1,-1
Kalidou Koulibaly,R,CB,M,H,88,83,30,54,67,89,87,2,-1,-1,-1,-1,-1,-1
Sergio Ramos,R,CB,H,M,88,70,70,76,74,88,84,3,-1,-1,-1,-1,-1,-1
Hidetoshi Nakata,R,CAM,M,M,88,85,84,86,87,62,65,4,-1,-1,-1,-1,-1,-1
Antonio Di Natale,R,ST,M,L,88,90,91,85,90,46,70,4,-1,-1,-1,-1,-1,-1
Mario Gomez,R,ST,H,M,88,83,90,73,82,43,83,3,-1,-1,-1,-1,-1,-1
Romelu Lukaku,L,ST,M,M,88,84,87,74,78,39,83,3,-1,-1,-1,-1,-1,-1
Toni Kroos,R,CM,M,M,88,53,81,91,81,71,68,3,-1,-1,-1,-1,-1,-1
Erling Haaland,L,ST,H,H,88,89,91,65,80,45,88,3,-1,-1,-1,-1,-1,-1
Raheem Sterling,R,LW,H,M,88,91,82,79,87,45,66,4,-1,-1,-1,-1,-1,-1
Bruno Miguel Borges Fernandes,R,CAM,H,H,88,75,86,89,84,70,77,4,-1,-1,-1,-1,-1,-1
Wayne Rooney,R,CF,H,H,88,90,90,81,87,50,86,3,-1,-1,-1,-1,-1,-1
Ivan Cordoba,R,CB,L,H,87,86,63,65,68,90,87,2,-1,-1,-1,-1,-1,-1
Joe Cole,R,RW,H,M,87,88,84,86,90,51,72,4,-1,-1,-1,-1,-1,-1
Ruben Santos Gato Alves Dias,R,CB,M,H,87,61,38,65,68,88,88,2,-1,-1,-1,-1,-1,-1
Luka Modric,R,CM,M,M,87,73,76,89,88,72,66,4,-1,-1,-1,-1,-1,-1
Andrew Robertson,L,LB,H,H,87,84,61,80,81,82,76,3,-1,-1,-1,-1,-1,-1
Trent Alexander-Arnold,R,RB,H,M,87,79,68,88,80,80,72,3,-1,-1,-1,-1,-1,-1
Paul Pogba,R,CM,H,M,87,71,81,86,86,65,83,5,-1,-1,-1,-1,-1,-1
Jadon Sancho,R,RM,H,M,87,81,76,82,91,36,65,5,-1,-1,-1,-1,-1,-1
Marco Verratti,R,CM,M,H,87,64,61,87,91,79,67,4,-1,-1,-1,-1,-1,-1
Angel Di Maria,L,RW,H,M,87,83,81,86,87,48,69,5,-1,-1,-1,-1,-1,-1
Marquinhos,R,CB,M,H,87,81,53,75,74,89,81,3,-1,-1,-1,-1,-1,-1
Sergio Aguero,R,ST,H,M,87,71,89,75,87,33,69,4,-1,-1,-1,-1,-1,-1
Frenkie de Jong,R,CM,H,M,87,81,69,85,88,77,78,4,-1,-1,-1,-1,-1,-1
Leon Goretzka,R,CM,H,M,87,81,82,82,84,81,86,3,-1,-1,-1,-1,-1,-1
Thomas Muller,R,CAM,H,H,87,67,84,83,80,56,71,3,-1,-1,-1,-1,-1,-1
Paulo Dybala,L,CF,M,M,87,84,86,86,90,40,60,4,-1,-1,-1,-1,-1,-1
Ciro Immobile,R,ST,H,M,87,86,87,67,81,39,77,3,-1,-1,-1,-1,-1,-1
Phil Foden,L,LW,H,M,86,86,81,82,89,58,60,4,-1,-1,-1,-1,-1,-1
Thiago Silva,R,CB,M,H,86,55,55,73,74,87,80,2,-1,-1,-1,-1,-1,-1
Raphael Varane,R,CB,M,H,86,82,49,64,65,87,82,2,-1,-1,-1,-1,-1,-1
Gabriel Jesus,R,RW,H,M,86,87,85,77,89,42,78,4,-1,-1,-1,-1,-1,-1
Nicolo Barella,R,CM,H,H,86,80,74,82,88,79,80,3,-1,-1,-1,-1,-1,-1
Jesus Navas,R,RB,H,M,86,89,71,84,85,82,63,4,-1,-1,-1,-1,-1,-1
Ole Gunnar Solskjr,R,ST,H,M,86,85,88,75,84,45,66,3,-1,-1,-1,-1,-1,-1
Robbie Keane,R,ST,H,M,86,87,88,76,88,45,76,4,-1,-1,-1,-1,-1,-1
Aleksandr Mostovoi,R,CAM,H,M,86,78,83,86,88,62,77,4,-1,-1,-1,-1,-1,-1
Sami Al-Jaber,L,ST,M,M,86,88,86,75,83,44,71,2,-1,-1,-1,-1,-1,-1
Freddie Ljungberg,R,LM,M,M,86,87,81,82,86,45,77,4,-1,-1,-1,-1,-1,-1
Milan Skriniar,R,CB,M,H,86,80,41,53,69,87,84,2,-1,-1,-1,-1,-1,-1
Mats Hummels,R,CB,H,H,86,56,59,77,73,89,77,3,-1,-1,-1,-1,-1,-1
Marcos Llorente,R,CM,H,M,86,88,80,81,82,78,82,3,-1,-1,-1,-1,-1,-1
Riyad Mahrez,L,RW,M,M,86,81,79,81,90,38,60,5,-1,-1,-1,-1,-1,-1
Joao Cancelo,R,RB,H,M,86,85,71,83,84,80,72,4,-1,-1,-1,-1,-1,-1
Bernardo Silva,L,CAM,H,H,86,80,76,83,91,54,67,4,-1,-1,-1,-1,-1,-1
Aymeric Laporte,L,CB,M,M,86,63,50,72,69,86,80,2,-1,-1,-1,-1,-1,-1
Rodrigo,R,CDM,M,H,86,61,70,77,78,82,82,3,-1,-1,-1,-1,-1,-1
Jordi Alba Ramos,L,LB,H,M,86,86,69,81,83,77,71,3,-1,-1,-1,-1,-1,-1
Sergio Busquets Burgos,R,CDM,M,M,86,42,62,79,80,82,75,3,-1,-1,-1,-1,-1,-1
Daniel Parejo Munoz,R,CM,M,M,86,50,83,90,81,71,69,3,-1,-1,-1,-1,-1,-1
Gerard Moreno Balaguero,L,ST,H,M,86,79,86,77,84,46,73,3,-1,-1,-1,-1,-1,-1
Kingsley Coman,R,LM,M,M,86,93,76,79,88,30,60,4,-1,-1,-1,-1,-1,-1
Lorenzo Insigne,R,LW,H,M,86,87,78,85,90,36,45,4,-1,-1,-1,-1,-1,-1
Fabinho,R,CDM,M,H,86,67,69,78,78,85,83,3,-1,-1,-1,-1,-1,-1
Giorgio Chiellini,L,CB,M,H,86,68,46,60,59,89,85,2,-1,-1,-1,-1,-1,-1
Thiago,R,CM,M,M,86,63,72,86,90,70,66,5,-1,-1,-1,-1,-1,-1
Jamie Vardy,R,ST,H,M,86,85,84,70,80,52,73,3,-1,-1,-1,-1,-1,-1
Pedro,R,LW,M,M,86,86,84,84,87,48,63,4,-1,-1,-1,-1,-1,-1
Azpilicueta,R,RWB,M,M,85,70,57,78,74,86,79,2,-1,-1,-1,-1,-1,-1
Memphis Depay,R,CF,H,L,85,82,83,82,84,30,79,5,-1,-1,-1,-1,-1,-1
Edin Dzeko,R,ST,M,M,85,70,86,73,80,47,78,3,-1,-1,-1,-1,-1,-1
Tim Cahill,R,ST,H,M,85,80,85,76,81,62,86,3,-1,-1,-1,-1,-1,-1
Lars Ricken,R,CAM,H,M,85,83,85,80,83,58,65,3,-1,-1,-1,-1,-1,-1
Carvajal,R,RB,H,M,85,80,54,78,80,81,80,3,-1,-1,-1,-1,-1,-1
Luiz Frello Filho Jorge,R,CM,M,M,85,55,67,86,81,73,73,3,-1,-1,-1,-1,-1,-1
Marco Reus,R,CAM,H,M,85,73,84,84,85,47,63,4,-1,-1,-1,-1,-1,-1
Eden Hazard,R,LW,M,M,85,84,80,82,88,35,63,4,-1,-1,-1,-1,-1,-1
Kyle Walker,R,RB,H,H,85,92,63,76,78,80,82,3,-1,-1,-1,-1,-1,-1
Ilkay Gundogan,R,CM,H,M,85,65,80,85,86,73,72,4,-1,-1,-1,-1,-1,-1
Lautaro Martinez,R,ST,H,M,85,84,81,72,85,48,84,4,-1,-1,-1,-1,-1,-1
Stefan de Vrij,R,CB,M,H,85,72,41,64,70,87,79,2,-1,-1,-1,-1,-1,-1
Jorge Resurreccion,R,CM,M,M,85,70,75,85,81,79,80,3,-1,-1,-1,-1,-1,-1
Antoine Griezmann,L,ST,M,M,85,80,84,84,87,52,72,4,-1,-1,-1,-1,-1,-1
Achraf Hakimi,R,RB,H,M,85,95,71,78,83,76,78,3,-1,-1,-1,-1,-1,-1
David Josue Jimenez Silva,L,CAM,H,M,85,63,74,87,87,52,53,4,-1,-1,-1,-1,-1,-1
Alejandro Gomez,R,CAM,H,M,85,87,78,84,87,39,55,4,-1,-1,-1,-1,-1,-1
Mikel Oyarzabal Ugarte,L,LW,H,M,85,82,82,81,84,41,63,3,-1,-1,-1,-1,-1,-1
Serge Gnabry,R,RM,H,M,85,83,84,79,86,43,69,4,-1,-1,-1,-1,-1,-1
Leonardo Bonucci,R,CB,M,H,85,64,58,69,72,86,80,2,-1,-1,-1,-1,-1,-1
Wilfred Ndidi,R,CDM,M,H,85,67,62,69,74,87,83,3,-1,-1,-1,-1,-1,-1
Sergej Milinkovic-Savic,R,CM,H,M,85,68,79,80,81,79,86,4,-1,-1,-1,-1,-1,-1
Marcus Rashford,R,LM,H,M,85,90,84,79,84,43,77,5,-1,-1,-1,-1,-1,-1
Matthijs de Ligt,R,CB,M,H,85,73,59,60,69,84,87,2,-1,-1,-1,-1,-1,-1
Edinson Cavani,R,ST,H,H,85,66,86,70,76,51,79,3,-1,-1,-1,-1,-1,-1
Aubameyang,R,ST,M,L,85,89,85,75,80,35,69,4,-1,-1,-1,-1,-1,-1
Roberto Firmino,R,CF,H,H,85,77,78,79,89,59,78,5,-1,-1,-1,-1,-1,-1
Anderson Talisca,L,CF,H,L,84,82,85,84,85,54,78,4,-1,-1,-1,-1,-1,-1
Manuel Locatelli,R,CDM,M,H,84,64,75,82,79,81,81,3,-1,-1,-1,-1,-1,-1
Jonathan David,R,ST,H,H,84,89,82,78,84,32,77,3,-1,-1,-1,-1,-1,-1
Marcel Sabitzer,R,CM,H,H,84,78,84,81,80,67,78,3,-1,-1,-1,-1,-1,-1
Ivan Toney,R,ST,H,H,84,85,84,73,80,54,85,3,-1,-1,-1,-1,-1,-1
Andre Silva,R,ST,M,M,84,74,84,69,83,45,77,4,-1,-1,-1,-1,-1,-1
Jack Grealish,R,LW,H,M,84,80,76,83,88,46,64,4,-1,-1,-1,-1,-1,-1
Georginio Wijnaldum,R,CM,H,H,84,77,75,80,86,79,79,4,-1,-1,-1,-1,-1,-1
Christopher Nkunku,R,CAM,M,M,84,82,78,85,88,72,70,4,-1,-1,-1,-1,-1,-1
Felipe Anderson Pereira Gomes,R,RW,M,M,84,89,79,83,86,64,70,4,-1,-1,-1,-1,-1,-1
Theo Hernandez,L,LB,H,M,84,93,71,76,81,77,82,3,-1,-1,-1,-1,-1,-1
David Alaba,L,CB,M,M,84,77,70,81,80,83,76,3,-1,-1,-1,-1,-1,-1
Timo Werner,R,ST,H,M,84,91,81,70,82,35,70,3,-1,-1,-1,-1,-1,-1
Kai Havertz,L,CAM,M,M,84,82,78,79,84,45,66,4,-1,-1,-1,-1,-1,-1
Hakim Ziyech,L,RW,H,H,84,78,76,87,83,50,65,5,-1,-1,-1,-1,-1,-1
Jose Maria Gimenez,R,CB,M,H,84,69,45,57,59,86,80,2,-1,-1,-1,-1,-1,-1
Yannick Carrasco,R,LM,H,H,84,88,81,78,85,45,67,4,-1,-1,-1,-1,-1,-1
Guerreiro,L,LB,H,L,84,75,77,85,88,76,58,4,-1,-1,-1,-1,-1,-1
Marcelo Brozovic,R,CDM,M,M,84,69,74,80,79,79,78,3,-1,-1,-1,-1,-1,-1
Zlatan Ibrahimovic,R,ST,M,L,84,65,87,78,79,34,77,5,-1,-1,-1,-1,-1,-1
Franck Yannick Kessie,R,CDM,H,H,84,78,74,74,80,82,87,3,-1,-1,-1,-1,-1,-1
Kieran Trippier,R,RB,M,M,84,73,63,82,77,80,72,3,-1,-1,-1,-1,-1,-1
Stefan Savic,R,CB,M,H,84,64,35,57,58,87,76,2,-1,-1,-1,-1,-1,-1
Felipe Augusto de Almeida Monteiro,R,CB,L,H,84,61,41,58,62,85,84,2,-1,-1,-1,-1,-1,-1
Matthias Ginter,R,CB,M,M,84,62,58,72,66,86,79,2,-1,-1,-1,-1,-1,-1
Filip Kostic,L,LM,H,H,84,88,77,82,83,68,80,3,-1,-1,-1,-1,-1,-1
Leroy Sane,L,RM,M,L,84,90,81,79,85,38,68,4,-1,-1,-1,-1,-1,-1
Luke Shaw,L,LB,H,M,84,79,54,79,80,81,80,3,-1,-1,-1,-1,-1,-1
Dries Mertens,R,CF,H,L,84,85,82,79,88,34,50,4,-1,-1,-1,-1,-1,-1
Luis Alberto Romero Alconchel,R,CAM,M,M,84,63,76,87,85,57,59,4,-1,-1,-1,-1,-1,-1
Josip Ilicic,L,CF,M,M,84,75,86,84,86,40,67,5,-1,-1,-1,-1,-1,-1
Wissam Ben Yedder,R,ST,H,L,84,82,84,77,87,39,70,4,-1,-1,-1,-1,-1,-1
Jordan Henderson,R,CDM,H,H,84,66,74,83,79,78,81,3,-1,-1,-1,-1,-1,-1
Dusan Tadic,L,LW,M,M,84,69,81,85,85,43,76,4,-1,-1,-1,-1,-1,-1
Gerard Pique Bernabeu,R,CB,H,M,84,58,61,71,68,85,78,2,-1,-1,-1,-1,-1,-1
Fernando Reges,R,CDM,M,M,84,66,62,75,74,83,82,3,-1,-1,-1,-1,-1,-1
Iago Aspas Juncal,L,ST,H,H,84,82,85,79,86,35,63,3,-1,-1,-1,-1,-1,-1
Lucas Digne,L,LB,H,M,84,79,69,80,80,80,76,3,-1,-1,-1,-1,-1,-1
Harry Maguire,R,CB,H,H,84,50,55,69,70,85,87,2,-1,-1,-1,-1,-1,-1
Ricardo Barbosa Pereira,R,RB,H,H,84,83,67,78,82,80,75,3,-1,-1,-1,-1,-1,-1
Youri Tielemans,R,CM,M,M,84,63,79,86,80,71,72,4,-1,-1,-1,-1,-1,-1
Nabil Fekir,L,CAM,H,M,84,83,83,82,87,38,79,4,-1,-1,-1,-1,-1,-1
Marcos Acuna,L,LB,H,H,84,76,74,82,87,79,82,4,-1,-1,-1,-1,-1,-1
Gustavo Bou,R,ST,M,L,84,85,86,79,84,38,80,4,-1,-1,-1,-1,-1,-1
Davidson da Luz Pereira,R,LM,H,M,84,87,83,78,87,48,79,4,-1,-1,-1,-1,-1,-1
Pedro Antonio Porro Sauceda,R,RWB,H,H,84,85,74,77,83,78,80,3,-1,-1,-1,-1,-1,-1
Joel Matip,R,CB,M,M,83,58,46,68,68,85,78,2,-1,-1,-1,-1,-1,-1
Kevin Volland,L,ST,H,H,83,73,85,79,80,42,86,3,-1,-1,-1,-1,-1,-1
Carlos Vela,L,RW,H,L,83,80,82,78,84,31,67,4,-1,-1,-1,-1,-1,-1
Iniesta,R,CAM,H,M,83,56,73,88,87,65,62,4,-1,-1,-1,-1,-1,-1
Iker Muniain Goni,R,CAM,H,M,83,81,76,82,87,51,61,4,-1,-1,-1,-1,-1,-1
Sergio Canales Madrazo,L,CM,H,M,83,83,80,85,82,67,71,4,-1,-1,-1,-1,-1,-1
Alex Sandro Lobo Silva,L,LB,H,M,83,81,65,77,79,78,79,3,-1,-1,-1,-1,-1,-1
Kostas Manolas,R,CB,L,M,83,81,25,44,62,85,81,2,-1,-1,-1,-1,-1,-1
Henrikh Mkhitaryan,R,CF,M,M,83,85,80,79,83,56,74,4,-1,-1,-1,-1,-1,-1
Juan Cuadrado,R,RB,H,M,83,90,75,77,87,76,72,5,-1,-1,-1,-1,-1,-1
Sebastian Coates,R,CB,M,M,83,68,49,55,63,84,87,2,-1,-1,-1,-1,-1,-1
Francesco Acerbi,L,CB,M,H,83,63,50,62,64,86,83,3,-1,-1,-1,-1,-1,-1
